Date,township,经度,纬度,经停病例数,患者数,全市患者数,所在区患者数,封控与否
2021/12/23 0:00,东马圈镇,116.844191,39.444862,0,0,0,0,0
2021/12/24 0:00,东马圈镇,116.844191,39.444862,0,0,0,0,0
2021/12/25 0:00,东马圈镇,116.844191,39.444862,0,0,0,0,0
2021/12/26 0:00,东马圈镇,116.844191,39.444862,0,0,0,0,0
2021/12/27 0:00,东马圈镇,116.844191,39.444862,0,0,0,0,0
2021/12/28 0:00,东马圈镇,116.844191,39.444862,0,0,0,0,0
2021/12/29 0:00,东马圈镇,116.844191,39.444862,0,0,0,0,0
2021/12/30 0:00,东马圈镇,116.844191,39.444862,0,0,0,0,0
2021/12/31 0:00,东马圈镇,116.844191,39.444862,0,0,0,0,0
2022/1/1 0:00,东马圈镇,116.844191,39.444862,0,0,0,0,0
2022/1/2 0:00,东马圈镇,116.844191,39.444862,0,0,0,0,0
2022/1/3 0:00,东马圈镇,116.844191,39.444862,1,0,0,0,0
2022/1/4 0:00,东马圈镇,116.844191,39.444862,0,0,0,0,0
2022/1/5 0:00,东马圈镇,116.844191,39.444862,0,0,0,0,0
2022/1/6 0:00,东马圈镇,116.844191,39.444862,0,0,0,0,0
2022/1/7 0:00,东马圈镇,116.844191,39.444862,0,0,0,0,0
2022/1/8 0:00,东马圈镇,116.844191,39.444862,0,0,27,0,0
2022/1/9 0:00,东马圈镇,116.844191,39.444862,0,0,63,0,0
2022/1/10 0:00,东马圈镇,116.844191,39.444862,0,0,102,0,0
2022/1/11 0:00,东马圈镇,116.844191,39.444862,0,0,142,0,0
2022/1/12 0:00,东马圈镇,116.844191,39.444862,0,0,146,0,0
2022/1/13 0:00,东马圈镇,116.844191,39.444862,0,0,184,0,0
2022/1/14 0:00,东马圈镇,116.844191,39.444862,0,0,209,0,0
2022/1/15 0:00,东马圈镇,116.844191,39.444862,0,0,268,0,0
2022/1/16 0:00,东马圈镇,116.844191,39.444862,0,0,313,0,0
2022/1/17 0:00,东马圈镇,116.844191,39.444862,0,0,334,0,0
2022/1/18 0:00,东马圈镇,116.844191,39.444862,0,0,341,0,0
2022/1/19 0:00,东马圈镇,116.844191,39.444862,0,0,367,0,0
2022/1/20 0:00,东马圈镇,116.844191,39.444862,0,0,367,0,0
2022/1/21 0:00,东马圈镇,116.844191,39.444862,0,0,367,0,0
2022/1/22 0:00,东马圈镇,116.844191,39.444862,0,0,340,0,0
2022/1/23 0:00,东马圈镇,116.844191,39.444862,0,0,304,0,0
2022/1/24 0:00,东马圈镇,116.844191,39.444862,0,0,265,0,0
2022/1/25 0:00,东马圈镇,116.844191,39.444862,0,0,225,0,0
2022/1/26 0:00,东马圈镇,116.844191,39.444862,0,0,226,0,0
2022/1/27 0:00,东马圈镇,116.844191,39.444862,0,0,188,0,0
2022/1/28 0:00,东马圈镇,116.844191,39.444862,0,0,169,0,0
2022/1/29 0:00,东马圈镇,116.844191,39.444862,0,0,119,0,0
2022/1/30 0:00,东马圈镇,116.844191,39.444862,0,0,89,0,0
2022/1/31 0:00,东马圈镇,116.844191,39.444862,0,0,68,0,0
2022/2/1 0:00,东马圈镇,116.844191,39.444862,0,0,83,0,0
2021/12/23 0:00,梅江街道,117.212725,39.064644,0,0,0,0,0
2021/12/24 0:00,梅江街道,117.212725,39.064644,0,0,0,0,0
2021/12/25 0:00,梅江街道,117.212725,39.064644,0,0,0,0,0
2021/12/26 0:00,梅江街道,117.212725,39.064644,0,0,0,0,0
2021/12/27 0:00,梅江街道,117.212725,39.064644,2,0,0,0,0
2021/12/28 0:00,梅江街道,117.212725,39.064644,2,0,0,0,0
2021/12/29 0:00,梅江街道,117.212725,39.064644,2,0,0,0,0
2021/12/30 0:00,梅江街道,117.212725,39.064644,2,0,0,0,0
2021/12/31 0:00,梅江街道,117.212725,39.064644,3,0,0,0,0
